target,hops,direct_origin,direct_related,direct_other_foreign,direct_related_weight,direct_other_foreign_weight,real_fraction,null_median,null_q05,null_q95,delta,effect_ratio,p_right,p_left,p_two_sided,q_bh_right,p_holm_right,pass_node_q95,top_foreign_source,status,preview
chunk:8962bed7d63901564218076b,1,4,6,2,3.653727065790685,1.1322807803325043,0.5478784691416376,0.1208321662848517,0.06931138820972353,0.1811312551989605,0.4270463028567859,4.53421043408309,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,"1. **What problem caused us to introduce this thing?** 2. **Was it observed, derived, defined, or merely operationally c"
chunk:9fb77421ec0ef8e6d78fc040,3,7,0,1,0.0,0.5918237678572255,0.12832236349471066,0.11330551764491176,0.029965170819064767,0.24554761117439255,0.015016845849798899,1.1325341092113466,0.41211757648470304,0.5880823835232953,0.8242351529694061,0.4327234553089382,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,"or, worse, doesn't even reason probabilistically and simply detects a category like *attributing motive* and forces a ne"
chunk:a9659c505e49a3d42e4db844,,0,0,0,0.0,0.0,,,,,,,,,,,,False,Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,UNREACHABLE,You can use an approximation. You can build on a convention. You can rely on a heuristic. You can freeze an interface. J
chunk:b6d7dbad9577436ab92a61cd,2,1,0,0,0.0,0.0,0.6710628054735164,0.10927639123567474,0.05473900808448949,0.24619188080058038,0.5617864142378416,6.140967851200772,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,and that behavior is subsequently cited as evidence that the proxy was fundamental all along. That creates **self-valida
chunk:bc6649925656594e6ec68677,1,6,1,0,0.5610719912876636,0.0,0.8129946837016291,0.12655085220563084,0.012205884288565238,0.3088178802442593,0.6864438314959982,6.4242529349435324,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,"**How much of this belief is constrained by evidence, and how much freedom remains for belief once those constraints are"
chunk:bdb68aabe90b68e820bcc515,3,6,0,0,0.0,0.0,0.19643768382842403,0.11388578350870554,0.030278216051144245,0.2505650538738064,0.08255190031971849,1.7248657187611844,0.15956808638272346,0.8406318736252749,0.3191361727654469,0.2393521295740852,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,> Is the speaker being rude? > Is this an attribution of intent? > Is this framing socially contentious? > Should this c
chunk:c3ee8a1f1ff5c8662bfc3333,2,6,0,0,0.0,0.0,0.8398034623829116,0.13904040726989655,0.007873155701363432,0.3361809063609802,0.7007630551130151,6.039995702491993,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,1. **Conversation-level:** stop substituting “blind faith” for a term I deliberately distinguished from blind faith. 2. 
chunk:c5b57619b9b130cc30c81432,3,7,0,0,0.0,0.0,0.17944454738600668,0.11393039243261366,0.02912758209975454,0.24915965604099233,0.06551415495339302,1.5750366829653697,0.19956008798240352,0.8006398720255948,0.39912017596480703,0.27938412317536493,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,"3. **Do not destroy distinctions already earned.** If the conversation establishes (A \neq B), later processing cannot s"
chunk:d79171c9a68bd3a1a2ba6612,2,5,0,0,0.0,0.0,0.844762000301605,0.12079120415154883,0.0071661552647971985,0.33109371419410344,0.7239707961500561,6.993572141575286,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,"Yes. In context, “or am I missing something” reads as a superficial escape hatch, not as genuine uncertainty. He had jus"
chunk:d96e6dc355c904b49f1f1236,2,7,0,0,0.0,0.0,0.352664088340398,0.11494708372528206,0.04283328965085514,0.22957391088676268,0.2377170046151159,3.0680559863810726,0.0003999200159968006,0.9998000399920016,0.0007998400319936012,0.0006998600279944011,0.004199160167966407,True,Analogistical-Constructivism-Deep-Research.md,OK,**Politics:** A temporary coalition of positions gets represented by a label. The label then becomes treated as an inter
chunk:da11a50d9ac147f0f42efa40,3,9,0,2,0.0,1.138475103463735,0.12987938262849502,0.11593290770447874,0.031932033027182526,0.23723031000664876,0.01394647492401628,1.1202978101745438,0.4071185762847431,0.5930813837232554,0.8142371525694861,0.4327234553089382,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,* how aggressively to infer intent from context * how much evidence is required before attributing rhetorical strategy o
chunk:ffceb9939c29300973d8d7d8,2,10,0,2,0.0,1.2273403323383714,0.21545076211886768,0.11465667335355871,0.0388373067134199,0.22386042563000463,0.10079408876530897,1.8790948299581076,0.0621875624875025,0.9380123975204959,0.124375124975005,0.10045683171058095,0.5596880623875224,False,Analogistical-Constructivism-Deep-Research.md,OK,"[1]: https://help.openai.com/en/articles/11899719?utm_source=chatgpt.com ""Customizing Your ChatGPT Personality | OpenAI "
